FieldName,DataType
BLDAT_PF,DATS
AEC_ISSUE_DATE,DATS
PLANDLVDAT,DATS
X_DATETO,DATS
WITHDRAWN,DATS
DMELDB_03,DATS
AVBFABSCHL,DATS
VALIDEND,DATS
DATBEWILL_ERB,DATS
BOOK26,DATS
CDATEH,DATS
CRDATE_TO,DATS
LV_ENDDA,DATS
PSTART,DATS
SEL_DATE_L,DATS
LAST_FJ,DATS
LIST_ST_TO,DATS
PDATV,DATS
ROREALVALIDTO,DATS
BDMES,DATS
/BEV3/MANF,DATS
SPERZ_B,DATS
VEB_GDAT_VON,DATS
SBJDT,DATS
CONDABSENDDATE,DATS
OVDUE_NET_DATE,DATS
FRN_TAX_BEGIN,DATS
ACTY_EXE_DATE,DATS
POL_BEGIN,DATS
ZNLSTATDAT,DATS
ENDDA_RESET,DATS
RESDT4,DATS
T2_MNDATEDEL,DATS
KNKK_DTREV,DATS
DEGKBE,DATS
INFO_DATE,DATS
CODE_INSPECTION_CREATED_ON,DATS
DATPLAN,DATS
AVERBACAO_DATE,DATS
STOPINTERRUPT,DATS
M_TIME,DATS
SIGNATURE_DATE,DATS
NOTE_DATE,DATS
DBFAEL,DATS
READING_DATE,DATS
TODAT,DATS
LEAVE_DAY,DATS
NFS_DATE,DATS
PREND04,DATS
DBG_DATE,DATS
RESUBM_PARAM_DATE,DATS
LOAD_STDT,DATS
ENCUMB_ENDDAENG,DATS
GUELTIGABT,DATS
ORG_ENDDA,DATS
VALEN,DATS
SHPPLVS,DATS
DANTLZB_I1,DATS
LASTEDITED_ON,DATS
REQ_DAT_H,DATS
HWKURS_DAT,DATS
TR_WB_DATE,DATS
FCFIN,DATS
INSTDATE9,DATS
DRBD,DATS
SLDATEFR,DATS
OFFER_CREATED_ON,DATS
PT2,DATS
CT_DATE,DATS
SUPPLY_DATE,DATS
P1728_BEGDA,DATS
DRNWDATE_02,DATS
RW2DT,DATS
DT_FIN_ESCR,DATS
LASTUSED_ON,DATS
NIDAT,DATS
EMS_CLRDAT,DATS
PABEG15,DATS
CHANGE_VIEW2,DATS
GHO_START_DATE,DATS
EXTADVPAYDT,DATS
TDATEGLLI,DATS
BRDATU,DATS
DELETEDON,DATS
DATE_SELECT,DATS
DSOT,DATS
UTD66,DATS
RZIDT,DATS
LAST_CHANGED_DATE,DATS
REP_DATE_FROM,DATS
REGISTRAT_DATE,DATS
NBEGDA,DATS
DRNWOPTACT_01,DATS
RCP_CHNGDAT,DATS
LP_ISSUE_DATE,DATS
SUB_ECK_END,DATS
KEY_VPDAT,DATS
SLICESTART,DATS
DCALLEND,DATS
CUSTDAT,DATS
DATE_X,DATS
DUEDATE_PAY_DELAY,DATS
WTY_REFDT,DATS
AEDATA,DATS
BON_DAYS,DATS
VALID,DATS
SALES_DT_TO,DATS
COMPLDAY,DATS
AENDAT_FICTR,DATS
DELFZ_VTBFHAZU,DATS
OBEGDA_YRMIN0,DATS
PABEG07,DATS
COMPLETETO,DATS
DVKMIN,DATS
TRACK_OCCUR,DATS
LAST_ALTER,DATS
WAR_DATE_OUT,DATS
FROM_QUART,DATS
PREND13,DATS
ACDAT_DBCON,DATS
YHDATBI,DATS
INBDATE,DATS
ORIG_FORECAST_SCH_RELEASE,DATS
ERFTAG,DATS
VA_BIS,DATS
AKTIV_FROM_DATE,DATS
CONDVALIDFROM_CF,DATS
END25,DATS
ASSTO_ENDDA,DATS
BEGIN_TERM,DATS
DATE_REV,DATS
VALID_FROM_SCR,DATS
ZA_DATE_FROM_1,DATS
BRDAT,DATS
ARRIVALDATE,DATS
DATE_SYPO,DATS
VON_FOMON,DATS
DEOT_S,DATS
ITP_DATE,DATS
DT1_ANG,DATS
VDT08,DATS
CASH_FLOW_LOCKED_TO_DATE,DATS
RO_PTO,DATS
BWENDD,DATS
FBUDAFAK,DATS
PCTRTTDAT,DATS
FTRMI,DATS
PEOPENDATE,DATS
ISFHD,DATS
USR09PRP,DATS
LLR_END_DATE,DATS
LOC_CLOSE_DATE,DATS
POSTGDATE,DATS
WEDFBVALUT,DATS
NKMPR_MO,DATS
OPTIONS_FOR_FINISH_DATE,DATS
DATAB_SH,DATS
PRES_DATE,DATS
LFZED,DATS
END29,DATS
SBG02,DATS
FASDT,DATS
DEXCHCUK,DATS
DATA_CREATE,DATS
P_CLDTTO,DATS
UDDATE,DATS
BACKUPDATE,DATS
I_DATE,DATS
DAUFER,DATS
EXT_DATE,DATS
ISEL_PERIOD_START,DATS
BEGDE,DATS
ABSIM,DATS
MOVDATE,DATS
RFDTG,DATS
INBD3,DATS
FREEZE_OUT_DATE,DATS
CDDLL,DATS
VBDATE,DATS
N3DV2BEK03,DATS
BUDAT_O,DATS
ADM_WITH_DECL_X,DATS
DAT15,DATS
PTOSU,DATS
ERFDAT_FICTR,DATS
PLANNINGDATE,DATS
SELBEGDA,DATS
J_3RF_CLRSHOW4,DATS
D3_LIC3_VALTO,DATS
USMD_RELEASED_D,DATS
AUF_DAT,DATS
GIDATALV,DATS
USEDAT,DATS
AP_APVALFROM,DATS
DAMTDATE_06,DATS
ED_POUPG,DATS
FE,DATS
DETAIL_VALID_FROM,DATS
BPBP_ENDDA,DATS
KDATBEK,DATS
EDATTR,DATS
DNG_DATE,DATS
BEGZR05,DATS
SCHDDT,DATS
DEDEC_AD,DATS
LIVDT,DATS
RETURN_DATUM,DATS
DATE_CHANGE,DATS
ENDPP,DATS
DTVAL,DATS
LAST_BASIC_SCH_RELEASE,DATS
FLDDATE,DATS
DAB_DC,DATS
CPH_DATE,DATS
EVENT_EFF_DATE,DATS
PLANNED_TO,DATS
RES_DAT_01,DATS
BETDT,DATS
RFDA3,DATS
AR_CALC_N,DATS
VAL_DATE_FROM_NEW,DATS
READ_VALID_FROM,DATS
CONSTRAINTS_DATE,DATS
BEGDAOBJ,DATS
SWO_CHANDA,DATS
COMPDATE,DATS
WWSDATU1,DATS
P14BG,DATS
RET_DUE_PROP,DATS
HCM_VISIBLE_DATE,DATS
DATXA,DATS
PART_DATE_EARLIEST,DATS
BASE_DAT,DATS
OFRESTO,DATS
VIBEG,DATS
DB_DATE_TO,DATS
RADAT,DATS
DED_ENDDA,DATS
OIDATFM1_TO,DATS
PROT_RENEWAL_DT,DATS
DATANCCATEG,DATS
COVDT,DATS
VALID_FROM_PROCY,DATS
LEAD_ENDDA,DATS
ABS_BEGDA,DATS
BUDAT_AD,DATS
