POSITION,APPLICATIONID,SUBAPPLICATIONID,INACTIVE
1,CA,CT04,
2,CA,SU01D,
3,CA,CU03,
4,CA,CU43,X
5,CA,OY01,
6,CA,SCC4,
7,CA,F_20,
8,CA,S_P6B_12000150,
9,CA,SU01,
10,CA,KE5Z,
11,CA,ME81,
12,CA,CL03,
13,CA,CACRFU,
1,CO,2KEE,
2,CO,CO_AUFK,
3,CO,CO26,
4,CO,CO_COBRA,
5,CO,CO_COBK,
6,CO,CO_COBRB,
7,CO,CO_COEP,
8,CO,COOIS,
9,CO,CO_COSP,
10,CO,CO_COSS,
11,CO,FSE3,
12,CO,GCS6,
13,CO,KA23,
14,CO,KAL7,
15,CO,KAH3,X
16,CO,KB13N,
17,CO,KB23N,
18,CO,KBH3,X
19,CO,KE24,X
20,CO,KE53,
21,CO,KE5Z,
22,CO,KK03,
23,CO,KKAQ,
24,CO,KKBC_ORD,
25,CO,KL03,
26,CO,KO03,
27,CO,KO8B,
28,CO,KO8N,
29,CO,KOB1,
30,CO,KS13,
31,CO,KSAI,
32,CO,KSAJ,
33,CO,KSB1,
34,CO,KSBT,
35,CO,KVBI,
36,CO,OKV1,
37,CO,OKV2,
38,CO,S_ALR_87009746,X
39,CO,S_ALR_87009747,X
40,CO,S_ALR_87013104,X
41,CO,S_ALR_87013531,
42,CO,S_ALR_87013602,
43,CO,S_ALR_87013632,
44,CO,TPC4,
45,CO,COCRFU,
1,FI,FIFI0001,
2,FI,FIFI0002,
3,FI,OB58,
4,FI,FBCJ,
5,FI,FBCJC2,
6,FI,FBCJC0,
7,FI,S_AL0_96000497,
8,FI,FSP0,
9,FI,S_ALR_87012326,
10,FI,FD10N,
11,FI,FBL5N,
12,FI,XD03,
13,FI,FBD3,
14,FI,S_ALR_87101140,
15,FI,RFBELJ00,
16,FI,FB03L,
17,FI,FB04,
18,FI,FI03,
19,FI,FF_6,
20,FI,RFUMSV00,
21,FI,S_ALR_807012357,
1,FIAA,AB03,
2,FIAA,AS03,
3,FIAA,AW01N,
4,FIAA,OAV9,
