SUBAPPLICATIONID,TABLEID,INACTIVE
CT04,CA_CT04_1,X
CT04,CA_CT04_2,X
CT04,CA_CT04_3,X
CT04,CA_CT04,X
SU01D,CA_SU01D_1,X
SU01D,CA_SU01D_2,X
CU03,CA_CU03,X
CU43,CA_CU43,X
OY01,CA_OY01,X
SCC4,CA_SCC4,X
F_20,CA_F_20,X
S_P6B_12000150,CA_S_P6B_12000150,X
SU01,CA_SU01,X
SU01,USR04,X
KE5Z,CA_KE5Z,X
ME81,CA_ME81,X
CL03,CA_CL03_1,X
CL03,CA_CL03_2,X
CL03,CA_CL03_3,X
CL03,CA_CL03_4,X
CL03,CA_CL03_5,X
CL03,CA_CL03_6,X
CACRFU,CA_STXL_1,X
CACRFU,CA_STXL_2,X
CACRFU,CA_STXL_3,X
CACRFU,CA_EKPO,X
CACRFU,CA_CUKN,X
CACRFU,CA0001,X
CACRFU,CA0002,X
CACRFU,CA0003,X
CACRFU,CA_TOA01,X
CACRFU,CA_LFA1,X
CACRFU,CA0004,X
CACRFU,CA0005,X
CACRFU,CA_MAKT,X
CACRFU,CA_TJ01T,X
CACRFU,CA_TJ02T,X
CACRFU,CA_TJ30T,X
CACRFU,CA_DRAT,X
CACRFU,CA_T023T,X
CACRFU,CA_T006A,X
CACRFU,CA_T024X,X
CACRFU,CA_TTXIT,X
CACRFU,CA_TCURT,X
CACRFU,CA_STXH,X
CACRFU,CA0006,X
CACRFU,CA_T001L,X
CACRFU,CA_T005,X
CACRFU,CA_T001W,X
CACRFU,CA_T300T,X
CACRFU,CA_T148T,X
CACRFU,CA0007,X
CACRFU,CADFV,X
CACRFU,CADA,X
CACRFU,GLPCA,X
2KEE,CO_2KEE,X
CO_AUFK,CO_AUFK_1,X
CO26,CO_CO26,X
CO26,CO_CO26_1,X
CO26,CO_CO26_2,X
CO26,CO_CO26_3,X
CO26,CO_CO26_4,X
CO26,CO_CO26_5,X
CO26,CO_CO26_6,X
CO26,CO_CO26_7,X
