TABNAME,FIELDNAME,DEFAULT,MANDATORY,PARAMETER
A004,MANDT,800,X,
A005,MANDT,800,X,
A017,MANDT,800,X,
ADCP,CLIENT,800,X,
ADR6,MANDT,800,X,
ADRC,CLIENT,800,X,
ADRP,CLIENT,800,X,
AENR,MANDT,800,X,
AENV,MANDT,800,X,
AEOI,MANDT,800,X,
AEPF,MANDT,800,X,
AFAB,MANDT,800,X,
AFFL,MANDT,800,X,
AFIH,MANDT,800,X,
AFKO,MANDT,800,X,
AFPO,MANDT,800,X,
AFRU,MANDT,800,X,
AFVC,MANDT,800,X,
AFVU,MANDT,800,X,
AFVV,MANDT,800,X,
AGR_USERS,MANDT,800,X,
ANEA,MANDT,800,X,
ANEK,MANDT,800,X,
ANEP,MANDT,800,X,
ANKA,MANDT,800,X,
ANKT,MANDT,800,X,
ANLA,MANDT,800,X,
ANLB,MANDT,800,X,
ANLC,MANDT,800,X,
ANLH,MANDT,800,X,
ANLP,MANDT,800,X,
ANLT,MANDT,800,X,
ANLV,MANDT,800,X,
ANLZ,MANDT,800,X,
AUAK,MANDT,800,X,
AUFK,MANDT,800,X,
AUSP,MANDT,800,X,
BFOD_A,MANDT,800,X,
BFOK_A,MANDT,800,X,
BHT_STXL_TEXT,MANDT,800,X,
BKPF,MANDT,800,X,
BNKA,MANDT,800,X,
BSAD,MANDT,800,X,
BSAK,MANDT,800,X,
BSAS,MANDT,800,X,
BSEC,MANDT,800,X,
BSEG,MANDT,800,X,
BSET,MANDT,800,X,
BSID,MANDT,800,X,
BSIK,MANDT,800,X,
BSIM,MANDT,800,X,
BSIS,MANDT,800,X,
CA0001,MANDT,800,X,
CA0002,MANDT,800,X,
CA0003,MANDT,800,X,
CA0004,MANDT,800,X,
CA0005,MANDT,800,X,
CA0006,MANDT,800,X,
CA0006,RELID,TX,,
CA0006,TDSPRAS,E,,
CABN,MANDT,800,X,
CABNT,MANDT,800,X,
CAT023T,MANDT,800,X,
CAT023T,SPRAS,E,,
CAWN,MANDT,800,X,
CAWNT,MANDT,800,X,
CA_CL03_1,MANDT,800,X,
CA_CL03_2,AENNR,,X,
CA_CL03_2,MANDT,800,X,
CA_CL03_3,MANDANT,800,X,
CA_CL03_3,OBJECTCLAS,ADRESSE,X,
CA_CL03_4,MANDANT,800,X,
CA_CL03_4,OBJECTCLAS,ADRESSE,X,
CA_CL03_5,MANDT,800,X,
CA_CL03_6,MANDT,800,X,
CA_CT04,MANDT,800,X,
CA_CT04_1,MANDT,800,X,
CA_CT04_2,MANDT,800,X,
CA_CT04_3,MANDT,800,X,
CA_CU03,MANDT,800,X,
CA_CU43,MANDT,800,X,
CA_CUKN,KNNUM,,X,
CA_CUKN,MANDT,800,X,
CA_DRAT,MANDT,800,X,
CA_EKPO,BUKRS,,X,
CA_EKPO,MANDT,800,X,
CA_F_20,MANDT,800,X,
CA_KE5Z,POPER,,X,
CA_KE5Z,RBUKRS,,X,
CA_KE5Z,RCLNT,800,X,
CA_KE5Z,RLDNR,8A,,
CA_KE5Z,RYEAR,,X,
CA_LFA1,LIFNR,,X,
CA_LFA1,MANDT,800,X,
CA_MAKT,MANDT,800,X,
CA_MAKT,SPRAS,E,,
CA_ME81,BUKRS,,X,
CA_ME81,MANDT,800,X,
CA_OY01,MANDT,800,X,
CA_OY01,SPRAS,E,,
CA_SCC4,MANDT,800,X,
CA_STXH,MANDT,800,X,
CA_STXH,TDNAME,,X,
CA_STXH,TDOBJECT,,X,
CA_STXH,TDSPRAS,E,,
CA_STXL,MANDT,800,X,
CA_STXL,TDNAME,,X,
CA_STXL,TDOBJECT,,X,
CA_STXL,TDSPRAS,E,,
CA_STXL_1,MANDT,800,X,
CA_STXL_1,TDNAME,,X,
CA_STXL_1,TDOBJECT,,X,
CA_STXL_1,TDSPRAS,E,,
CA_STXL_2,MANDT,800,X,
CA_STXL_2,TDNAME,,X,
CA_STXL_2,TDOBJECT,,X,
CA_STXL_2,TDSPRAS,E,,
CA_STXL_3,MANDT,800,X,
CA_STXL_3,TDNAME,,X,
CA_STXL_3,TDOBJECT,,X,
CA_STXL_3,TDSPRAS,E,,
CA_SU01,MANDT,800,X,
CA_SU01D_1,MANDT,800,X,
CA_SU01D_2,MANDT,800,X,
CA_S_P6B_12000150,OBJECTNAME,,X,
CA_S_P6B_12000150,OBJECTTYPE,,X,
CA_T001L,MANDT,800,X,
CA_T001L,WERKS,,X,
CA_T001W,MANDT,800,X,
CA_T001W,SPRAS,E,,
CA_T001W,WERKS,,X,
CA_T005,MANDT,800,X,
CA_T005,SPRAS,E,,
CA_T006A,MANDT,800,X,
CA_T006A,SPRAS,E,,
CA_T023T,MANDT,800,X,
CA_T023T,SPRAS,E,X,
CA_T024X,MANDT,800,X,
CA_T024X,SPRAS,E,,
CA_T148T,MANDT,800,X,
CA_T148T,SPRAS,E,X,
CA_T800T,MANDT,800,X,
CA_T800T,SPRAS,E,X,
CA_TCURT,MANDT,800,X,
CA_TCURT,SPRAS,E,,
CA_TJ01T,SPRAS,E,,
CA_TJ30T,MANDT,800,X,
CA_TJ30T,SPRAS,E,,
CA_TOA01,MANDT,800,X,
CA_TOA01,OBJECT_ID,,X,
CA_TOA01,SAP_OBJECT,,X,
CA_TTXIT,TDSPRAS,E,X,
CDHDR,MANDANDT,800,X,
CDPOS,MANDANDT,800,X,
CEPC,MANDT,800,X,
CEPCT,MANDT,800,X,
CEPC_BUKRS,MANDT,800,X,
CHVW,MANDT,800,X,
CKHS,MANDT,800,X,
CKIS,MANDT,800,X,
CO001,AUFNR,,X,
CO001,MANDT,800,X,
CO002,MANDT,800,X,
CO002,OBJNR,,X,
CO003,MANDT,800,X,
CO003,OBJNR,,X,
CO004,MANDT,800,X,
CO004,OBJNR,,X,
COBK,MANDT,800,X,
COBRA,MANDT,800,X,
COBRB,MANDT,800,X,
COEP,MANDT,800,X,
COEPL,MANDT,800,X,
COFIT,RCLNT,800,X,
COKR,MANDT,800,X,
COSL,MANDT,800,X,
COSP,MANDT,800,X,
COSPP,MANDT,800,X,
COSR,MANDT,800,X,
COSS,MANDT,800,X,
COST,MANDT,800,X,
CO_2KEE,RACCT,,Y,
CO_2KEE,RCLNT,800,X,
CO_2KEE,RYEAR,,X,
CO_AUFK_1,AUFNR,,X,
CO_AUFK_1,MANDT,800,X,
CO_CO26_1,APLZL,,X,
CO_CO26_1,AUFPL,,X,
CO_CO26_1,MANDT,800,X,
CO_CO26_2,MANDT,800,X,
CO_CO26_2,MATNR,,X,
CO_CO26_3,MANDT,800,X,
CO_CO26_3,MATNR,,X,
CO_CO26_3,WERKS,,X,
CO_CO26_4,MANDT,800,X,
CO_CO26_4,MATNR,,X,
CO_CO26_4,OBJNR,,X,
CO_CO26_5,SPRAS,E,X,
CO_CO26_6,AUART,,X,
CO_CO26_6,CLIENT,800,X,
CO_CO26_7,BUKRS,,X,
CO_CO26_7,MANDT,800,X,
CO_CO26_7,MATNR,,X,
CO_COBK_1,GJAHR,,X,
CO_COBK_1,KOKRS,,X,
CO_COBK_1,MANDT,800,X,
CO_COBRA_1,MANDT,800,X,
CO_COBRA_1,OBJNR,,X,
CO_COBRA_3,MANDT,800,X,
CO_COBRA_3,OBJNR,,X,
CO_COBRB,MANDT,800,X,
CO_COBRB_1,MANDT,800,X,
CO_COEPL,KOKRS,,X,
CO_COEPL,MANDT,800,X,
CO_COEP_1,GJAHR,,X,
CO_COEP_1,KOKRS,,X,
CO_COEP_1,MANDT,800,X,
CO_COKR,GJAHR,,X,
CO_COKR,MANDT,800,X,
CO_COOIS_1,AUFNR,,X,
CO_COOIS_1,BUKRS,,X,
CO_COOIS_1,MANDT,800,X,
CO_COOIS_1,SPRAS,E,,
CO_COSL,GJAHR,,X,
CO_COSL,MANDT,800,X,
CO_COSP_4,GJAHR,,X,
CO_COSP_4,MANDT,800,X,
CO_COSR,GJAHR,,X,
CO_COSR,MANDT,800,X,
CO_COSS_1,GJAHR,,X,
CO_COSS_1,MANDT,800,X,
CO_COSS_1,OBJNR,,X,
CO_CSKA,KTOPL,,X,
CO_CSKA,MANDT,800,X,
CO_CSKS,KOKRS,,X,
CO_CSKS,MANDT,800,X,
CO_CSKT,MANDT,800,X,
CO_CSKT,SPRAS,E,,
CO_CSKU,MANDT,800,X,
CO_CSKU,SPRAS,E,,
CO_CSSL,KOKRS,,X,
CO_CSSL,MANDT,800,X,
CO_FSE3,MANDT,800,X,
CO_FSE3,SPRAS,E,X,
CO_GCS6,KTOPL,,X,
CO_GCS6,MANDT,800,X,
CO_KA23,KTOPL,,X,
CO_KA23,MANDT,800,X,
CO_KA23,SPRAS,E,,
CO_KAL7,KOKRS,,X,
CO_KAL7,RCLNT,800,X,
CO_KAL7,RYEAR,,X,
CO_KB13N,GJAHR,,X,
CO_KB13N,KOKRS,,X,
CO_KB13N,MANDT,800,X,
CO_KB23N,GJAHR,,X,
CO_KB23N,KOKRS,,X,
CO_KB23N,MANDT,800,X,
CO_KB23N,PERIO,,X,
CO_KB23N,REFBK,,X,
CO_KBH3,MANDT,800,X,
CO_KBH3,SETNR,,X,
CO_KBH3,TAB,CCSS,,
CO_KE53_1,MANDT,800,X,
