TABNAME,LANGUAGE,TEXT
A004,D,Material
A004,E,Material
A005,D,Kunde/Material
A005,E,Customer/Material
A017,D,Materialinfosatz (werksspezifisch)
A017,E,Material Info Record (Plant-Specific)
ADCP,D,Zuordnung Person/Adresse (Business Address Services)
ADCP,E,Person/Address Assignment (Business Address Services)
ADR6,D,E-Mail-Adressen (Business Address Services)
ADR6,E,E-Mail Addresses (Business Address Services)
ADRC,D,Adressen (Business Address Services)
ADRC,E,Addresses (Business Address Services)
ADRP,D,Personen (Business Address Services)
ADRP,E,Persons (Business Address Services)
AENR,D,Ã„nderungsstammsatz
AENR,E,Change Master
AENV,D,Ã„nderungsdienst: Objekttypen zu Ã„nderungsstamm
AENV,E,ECH: Object Types for Change Master
AEOI,D,Ã„nderungsdienst: ObjektverwaltungssÃ¤tze zu Ã„nderungsstamm
AEOI,E,ECH: Object Management Records for Change Master
AEPF,D,ECM: GÃ¼ltigkeit
AEPF,E,ECM: effectivity
AFAB,D,Netzplan - Anordnungsbeziehungen
AFAB,E,Network - Relationships
AFFH,E,PRT assignment data for the work order
AFFL,D,Werkauftragsfolge
AFFL,E,Work order sequence
AFIH,D,Auftragskopf Instandhaltung
AFIH,E,Maintenance order header
AFKO,D,Auftragskopfdaten PPS-AuftrÃ¤ge
AFKO,E,Order Header Data PP Orders
AFPO,D,Auftragsposition
AFPO,E,Order item
AFRU,D,AuftragsrÃ¼ckmeldungen
AFRU,E,Order Confirmations
AFVC,D,Auftragsarbeitsvorgang
AFVC,E,Operation within an order
AFVU,D,DB-Struktur der Benutzerfelder des Arbeitsvorganges
AFVU,E,DB structure of the user fields of the operation
AFVV,D,DB-Struktur des Arbeitsvorgangs Mengen/Termine/Werte
AFVV,E,DB structure of the quantities/dates/values in the operation
AGR_USERS,D,Zuordnung Rollen zu Benutzern
AGR_USERS,E,Assignment of roles to users
ANEA,D,Anlagen-Einzelposten anteilige Werte
ANEA,E,Asset Line Items for Proportional Values
ANEK,D,Belegkopf Anlagenbuchung
ANEK,E,Document Header Asset Posting
ANEP,D,Anlagen-Einzelposten
ANEP,E,Asset Line Items
ANKA,D,Anlagenklassen: Allgemeine Daten
ANKA,E,Asset classes:  general data
ANKT,D,Anlagenklassen: Beschreibung
ANKT,E,Asset classes: Description
ANLA,D,Anlagenstammsatz-Segment
ANLA,E,Asset Master Record Segment
ANLB,D,Abschreibungsparameter
ANLB,E,Depreciation terms
ANLC,D,Anlagen-Wertfelder
ANLC,E,Asset Value Fields
ANLH,D,Anlagen-Hauptnummer
ANLH,E,Main asset number
ANLP,D,Anlagen-Periodenwerte
ANLP,E,Asset Periodic Values
ANLT,D,Anlagentexte
ANLT,E,Asset Texts
ANLV,D,Versicherungsdaten
ANLV,E,Insurance data
ANLZ,D,Valutierte Anlagen-Zuordnungen
ANLZ,E,Time-Dependent Asset Allocations
ASMD,E,Service Master: Basic Data
ASMDT,E,Service Short Texts
AUAK,D,Belegkopf fÃ¼r Abrechnung
AUAK,E,Document Header for Settlement
