FIELDNAME,LANGUAGE,TEXT
.APPEND,E,Additional tax data fields
/BEV1/ECEWA,D,Bewegungsart
/BEV1/ECEWA,E,Flow Type
/BEV1/ECRTN,D,Vertragsnummer
/BEV1/ECRTN,E,Contract Number
/BEV1/ECRTT,D,Vertragsart
/BEV1/ECRTT,E,Contract Type
/BEV1/EMDRCKSPL,D,Druckspalte
/BEV1/EMDRCKSPL,E,Print Column
/BEV1/EMLGFORTS,D,LG-Fortschr.aus
/BEV1/EMLGFORTS,E,Emp.Update Off
/BEV1/EMLGPFAND,D,LG-Bepf. aus
/BEV1/EMLGPFAND,E,Empts Depos. fr
/BEV1/EMLGRP,D,Leerg.Gruppe
/BEV1/EMLGRP,E,Emp.Group
/BEV1/LULDEGRP,D,Ladeeinheit-Gruppe
/BEV1/LULDEGRP,E,Loading Unit Group
/BEV1/LULEINH,D,Ladeeinheiten
/BEV1/LULEINH,E,Loading Units
/BEV1/NEDEPFREE,D,Abh. kostenlos
/BEV1/NEDEPFREE,E,Dependent Free
/BEV1/NEGEN_ITEM,D,Pos. generiert
/BEV1/NEGEN_ITEM,E,Item Generated
/BEV1/NESTRUCCAT,D,Struk.kategorie
/BEV1/NESTRUCCAT,E,Struct.Category
/BEV1/RPANHAE,E,Trailer
/BEV1/RPBEZME,D,BasisME
/BEV1/RPBEZME,E,BUoM
/BEV1/RPCONT,E,Number Category 3
/BEV1/RPFAESS,E,Number Category 1
/BEV1/RPFAR1,E,Driver 1
/BEV1/RPFAR2,E,Driver 2
/BEV1/RPFLGNR,E,Loading Sequence Number in the Tour
/BEV1/RPKIST,E,Number Category 2
/BEV1/RPMOWA,E,Vehicle
/BEV1/RPSCO,D,Summe 3
/BEV1/RPSCO,E,Total 3
/BEV1/RPSFA,D,Summe 1
/BEV1/RPSFA,E,Total 1
/BEV1/RPSKI,D,Summe 2
/BEV1/RPSKI,E,Total 2
/BEV1/RPSNS,D,Keine
/BEV1/RPSNS,E,None
/BEV1/RPSONST,E,Number Category 4
/BEV1/RPSSO,D,Summe 4
/BEV1/RPSSO,E,Total 4
/BEV1/SRFUND,D,Analy./Absagegr.
/BEV1/SRFUND,E,Analy./Reason Rejec.
/BEV2/ED_AEDAT,D,Geändert am
/BEV2/ED_AEDAT,E,Changed on
/BEV2/ED_AETIM,D,Uhrzeit
/BEV2/ED_AETIM,E,Time
/BEV2/ED_KZ_VER,D,VBS-Status
/BEV2/ED_KZ_VER,E,ED Status
/BEV2/ED_USER,D,Benutzername
/BEV2/ED_USER,E,User name
/CUM/AUEST,D,Auto gesch. Kst
/CUM/AUEST,E,Auto Est. Costs
/CUM/CMNUM,D,BM-Nummer
/CUM/CMNUM,E,CM Number
/CUM/CUGUID,D,UUID in X-Form (binär)
/CUM/CUGUID,E,UUID in X form (binary)
/CUM/DESNUM,D,PE-Entwurfs-Nr.
/CUM/DESNUM,E,CU Design No.
/CUM/INDCU,D,PE-Auftrag
/CUM/INDCU,E,CU Order
/DSD/SL_TOLTYP,D,Toleranztyp
/DSD/SL_TOLTYP,E,Tolerance Type
/DSD/SV_CNT_GRP,D,Zählgruppe
/DSD/SV_CNT_GRP,E,Counting Group
/DSD/VC_GROUP,D,DSD-Gruppierung
/DSD/VC_GROUP,E,DSD Grouping
/IDT/AUEA,E,Authority Exempt Amt
/IDT/AUNA,E,Authority Name
/IDT/AUTY,E,Authority Type
/IDT/BSUP,E,Business Supply
/IDT/DOT,E,Direction of Tax
/IDT/ETC,E,ERP Tax Code
/IDT/GROSS,E,Gross Amount
/IDT/HDCT,D,Zähler Kopfkon.
/IDT/HDCT,E,HdCond.counter
/IDT/IE,E,exempt indicator
/IDT/ITEM,E,Tax identifier code
/IDT/NOT,E,Nature of Tax
/IDT/NTAXB,E,Non Taxable Basis
/IDT/TTYP,E,Tax Type
/IDT/UUID,E,Authority UUID
/ISDFPS/MEQUI,D,Masterequi
/ISDFPS/MEQUI,E,Master Equip.
/ISDFPS/OBJNR,D,Objektnummer
/ISDFPS/OBJNR,E,Object number
/SAPCEM/CONV_ME,D,Umwandlung ME
/SAPCEM/CONV_ME,E,Convert UoM
/SAPF15/STATUS,D,F15 Belegstatus
/SAPF15/STATUS,E,Document Status
/SAPSMOSS/ADDID,D,Add-On ID
/SAPSMOSS/ADDID,E,Add-on ID
/SAPSMOSS/ADDREL,D,Add-On Release
/SAPSMOSS/ADDREL,E,Add-On Release
/SAPSMOSS/COMP,D,SAP-Komponente
/SAPSMOSS/COMP,E,SAP component
/SAPSMOSS/DBSYS,D,Datenbanksystem
/SAPSMOSS/DBSYS,E,Database system
/SAPSMOSS/ERDAT,D,Erledigt bei SAP
/SAPSMOSS/ERDAT,E,Completed by SAP
/SAPSMOSS/ERZEIT,D,Erl. Zeit bei SAP
/SAPSMOSS/ERZEIT,E,Compl.Time at SAP
/SAPSMOSS/FRONT,D,Frontend
/SAPSMOSS/FRONT,E,Frontend
/SAPSMOSS/INSTN,D,Installation
/SAPSMOSS/INSTN,E,Installation
/SAPSMOSS/MANDT,D,Mandantenkennung
/SAPSMOSS/MANDT,E,Client ID
/SAPSMOSS/MNUMM,D,Nr. SAPNet-Meld
/SAPSMOSS/MNUMM,E,SAPNet notif.
/SAPSMOSS/MTSTMP,D,Zeitstempel
/SAPSMOSS/MTSTMP,E,Time stamp
/SAPSMOSS/NOTE,D,Hinweisnummer
/SAPSMOSS/NOTE,E,Note number
/SAPSMOSS/OSSYS,D,Betriebssystem
/SAPSMOSS/OSSYS,E,Operating sys.
/SAPSMOSS/REL,D,R/3-Release
/SAPSMOSS/REL,E,R/3 Release
/SAPSMOSS/REPORT,D,Name Erfasser
/SAPSMOSS/REPORT,E,Created by
/SAPSMOSS/STATUS,D,Status SAP-Mld.
/SAPSMOSS/STATUS,E,Status SAPNotif
/SAPSMOSS/SYSID,D,SAP-System-ID
/SAPSMOSS/SYSID,E,SAP System ID
/SAPSMOSS/SYSTYP,D,R/3-Systemtyp
/SAPSMOSS/SYSTYP,E,R/3 System type
/SAPSMOSS/TSTMP,D,Zeitstempel
/SAPSMOSS/TSTMP,E,Time stamp
/VSO/R_BOT_IND,D,unterste Lage
/VSO/R_BOT_IND,E,Bottom Layer
/VSO/R_DPOINT,D,SAbladestelle
/VSO/R_DPOINT,E,CollUnloadPoint
/VSO/R_FORK_DIR,D,PKM längs aufn.
/VSO/R_FORK_DIR,E,Pick PKM Length
/VSO/R_I_NO_LYR,D,Anz Lagen ZwPal
/VSO/R_I_NO_LYR,E,No.Layers InPal
/VSO/R_KZGVH_IND,D,geschl.PKM erf.
/VSO/R_KZGVH_IND,E,Closed PKM Req.
/VSO/R_LANE_NUM,D,KommiZeile
/VSO/R_LANE_NUM,E,Picking Line
/VSO/R_LOAD_PREF,D,V/H-Präferenz
/VSO/R_LOAD_PREF,E,F/B Preference
/VSO/R_MATPAL,D,PKM des Kunden
/VSO/R_MATPAL,E,PKM of Custom.
/VSO/R_NO_P_GVH,D,Anz.Mat / PKM
/VSO/R_NO_P_GVH,E,No. Mat / PKM
/VSO/R_ONE_MAT,D,materialrein
/VSO/R_ONE_MAT,E,Material-Spec.
/VSO/R_ONE_SORT,D,PckStTyprein
/VSO/R_ONE_SORT,E,Pack PckType
/VSO/R_PALHGT,D,max. StellHöhe
/VSO/R_PALHGT,E,Max. Stack Hght
/VSO/R_PALHGT_DISP,D,max. StellHöhe
/VSO/R_PALHGT_DISP,E,Max. Stack Hght
/VSO/R_PAL_B_HT,D,max. StellHöhe
/VSO/R_PAL_B_HT,E,Max. Stack Hght
/VSO/R_PAL_B_HT_DISP,D,max. StellHöhe
/VSO/R_PAL_B_HT_DISP,E,Max. Stack Hght
/VSO/R_PAL_IND,D,ohne PKM verl.
/VSO/R_PAL_IND,E,Load w/o PKM
/VSO/R_PAL_MIN_H,D,min. StellHöhe
/VSO/R_PAL_MIN_H,E,Min. Stack.Hght
/VSO/R_PAL_MIN_H_DISP,D,min. StellHöhe
/VSO/R_PAL_MIN_H_DISP,E,Min. Stack.Hght
/VSO/R_PAL_OVR_D,D,Überhang  Tiefe
/VSO/R_PAL_OVR_D,E,Overhang Depth
/VSO/R_PAL_OVR_D_DISP,D,Überhang  Tiefe
/VSO/R_PAL_OVR_D_DISP,E,Overhang Depth
/VSO/R_PAL_OVR_W,D,Überhang Breite
/VSO/R_PAL_OVR_W,E,Overhang Width
/VSO/R_PAL_OVR_W_DISP,D,Überhang Breite
/VSO/R_PAL_OVR_W_DISP,E,Overhang Width
/VSO/R_PAL_UL,D,LE PKM
/VSO/R_PAL_UL,E,PKM Length Unit
/VSO/R_PAL_VEND,D,MatNr PKM Lf
/VSO/R_PAL_VEND,E,MatNo PKM VE
/VSO/R_PKGRP,D,Packgruppe
/VSO/R_PKGRP,E,Packing Group
/VSO/R_PK_MAT,D,kundenrein
/VSO/R_PK_MAT,E,CustomerRelated
/VSO/R_QUAN_UNIT,D,ME LROpt
/VSO/R_QUAN_UNIT,E,UoM VSO
/VSO/R_STACK_IND,D,nicht stapeln
/VSO/R_STACK_IND,E,No Stacking
/VSO/R_STACK_NO,D,Stapelfaktor
/VSO/R_STACK_NO,E,Stacking Factor
/VSO/R_STATUS,E,Status of Vehicle Space Optimization
/VSO/R_TILT_IND,D,Kippen erlaubt
/VSO/R_TILT_IND,E,Tilting Allowed
/VSO/R_TOL_B_HT,D,Überschr StellH
/VSO/R_TOL_B_HT,E,StackH Toleran.
/VSO/R_TOL_B_HT_DISP,D,Überschr StellH
/VSO/R_TOL_B_HT_DISP,E,StackH Toleran.
/VSO/R_TOP_IND,D,oberste Lage
/VSO/R_TOP_IND,E,Top Layer
/VSO/R_ULD_SIDE,D,Seitenpräferenz
/VSO/R_ULD_SIDE,E,Side Preference
AAFAG,D,Geb.außpl.AfA
AAFAG,E,Pstd.unpl.dep.
AAFAL,D,außerplanm.AfA
AAFAL,E,Unplanned dep.
AAFAM,D,Man.ausspl.Afa
AAFAM,E,Man.unplnd.dep.
AAFAP,D,Gepl.außpl.AfA
AAFAP,E,Plan.unplnd.dep
AAFAV,D,Außerplanm.AfA
AAFAV,E,Unplanned dep.
AAFAZ,D,z.b.außpl.AfA
AAFAZ,E,Unpld.dep. TBP
AANFP,D,Anfrageposit.
AANFP,E,RFQ items
AANGP,D,Angebotsposit.
AANGP,E,Quotation Items
AAR01,D,Abgeltungsart
AAR01,E,Comp. type
AAR02,D,Abgeltungsart
AAR02,E,Comp. type
AAR03,D,Abgeltungsart
AAR03,E,Comp. type
AAR04,D,Abgeltungsart
AAR04,E,Comp. type
AAR05,D,Abgeltungsart
AAR05,E,Comp. type
AAR06,D,Abgeltungsart
AAR06,E,Comp. type
AAUFG,D,Std. Aufgabe
AAUFG,E,Wrk ctr op set
AAZ01,D,Url. abgegolten
AAZ01,E,Comp. leave
AAZ02,D,Url. abgegolten
AAZ02,E,Comp. leave
AAZ03,D,Url. abgegolten
AAZ03,E,Comp. leave
AAZ04,D,Url. abgegolten
AAZ04,E,Comp. leave
AAZ05,D,Url. abgegolten
AAZ05,E,Comp. leave
AAZ06,D,Url. abgegolten
AAZ06,E,Comp. leave
AA_FINAL_IND,D,Endkontiert
AA_FINAL_IND,E,Final AA
AA_FINAL_QTY,D,Endkontierungsmenge
AA_FINAL_QTY,E,Final AA Quantity
AA_FINAL_QTY_DISP,D,Endkontierungsmenge
AA_FINAL_QTY_DISP,E,Final AA Quantity
AA_FINAL_QTY_F,D,EndMenge -Gleitpunkt
AA_FINAL_QTY_F,E,Final Qty (Fltg Pt)
AA_FINAL_REASON,D,Endkontierungsgrund
AA_FINAL_REASON,E,Final AA Reason
ABANZ,D,Anz. Planabrufe
ABANZ,E,No. of calls
ABARB,D,Abarbeit.grad
ABARB,E,Processing %
ABART,D,Abrufart
ABART,E,Release type
ABCIN,D,CC-Inventur
ABCIN,E,CC phys. inv.
ABCIW,D,CC-Inventur
ABCIW,E,CC phys. inv.
ABCKZ,D,ABC-Kennz.
ABCKZ,E,ABC indic.
ABCKZI,D,Herk.ABC-Kennz.
ABCKZI,E,ABC ind. orig.
ABC_TEMPL,D,Template
ABC_TEMPL,E,Template
ABDAT,D,Abstimmdatum
ABDAT,E,Reconcil. Date
ABDIS,D,Dispo Abrufart
ABDIS,E,MRP for DS type
ABELN,D,Aufteiler
ABELN,E,Alloc. Table
ABELP,D,Position
ABELP,E,Item
ABFAC,D,Luftauftriebsf.
ABFAC,E,Air Buoy. Fact.
ABFER,D,Abfertigungsart
ABFER,E,ShpmtComplType
ABFOR,D,AbsicherungForm
ABFOR,E,PaytGuarantForm
ABFTZ,D,Abstimm-FZ
ABFTZ,E,Agr. Cum. Qty
ABFTZ_DISP,D,Abstimm-FZ
ABFTZ_DISP,E,Agr. Cum. Qty
ABGAN,D,Abgang
ABGAN,E,Retirement
ABGDAT_B,D,Letzter Abgang am
ABGDAT_B,E,Last retmt. on
ABGDT,D,letzter Abgang
ABGDT,E,Last retirement
ABGES,D,abgesichert
ABGES,E,Guaranteed
ABGJA,E,Closed fiscal year for depreciation calculation
ABGRS,D,AbgrSchlüssel
ABGRS,E,RA Key
ABGRU,D,das Feld wird nicht verwendet
ABGRU,E,Field Not Used
ABGSL,D,AbgrSchlüssel
ABGSL,E,RA Key
ABGSL_1,D,AbgrSchlüssel
ABGSL_1,E,RA Key
ABHOB,D,Abholzeit
ABHOB,E,Pick up time
ABHOD,D,Abholdatum
ABHOD,E,Pick up date
ABHOV,D,Abholzeit
ABHOV,E,Pick up time
ABJHR,E,Valid From Fiscal Year
ABKAT,E,Category for Variance/Results Analysis
ABKRS,D,Verarbeit.Grp.
ABKRS,E,Process. group
ABLAD,D,Abladestelle
ABLAD,E,Unloading Point
ABLFZ,D,Rundung Lf.Mg.
ABLFZ,E,Rounding qty
ABLFZ_DISP,D,Rundung Lf.Mg.
ABLFZ_DISP,E,Rounding qty
ABLIPKZ,D,Abrüsten/Liegen par.
ABLIPKZ,E,Teardown/wait simul.
ABMNG,D,Abrufmenge
ABMNG,E,Rel. order qty.
ABMNG_DISP,D,Abrufmenge
ABMNG_DISP,E,Rel. order qty.
ABNUM,D,Abrufnummer
ABNUM,E,Call Number
ABOTY,E,Desg. Groups
ABPER,D,Abrech.Per.
ABPER,E,Settl.Period
ABRBG,D,AbrechnungsBg
ABRBG,E,AcctSettleStart
ABRBUP,D,Abrechnungsperiode
ABRBUP,E,Settlement period
ABRDT,D,abger. bis
ABRDT,E,Acctd to
ABRHO,E,Scheduling Period
ABRLI,D,Int.Lieferabruf
ABRLI,E,Int.dlv.scd.no.
ABRNA,E,Name of the person who made the call
ABRNR,D,Abr.nummer
ABRNR,E,Settlement no.
ABRSP,D,Personalnr gesperrt
ABRSP,E,Pers.no.locked
ABRST,D,Abr.-Stunden
ABRST,E,Payroll hours
ABRTG,D,Abr.-Tage
ABRTG,E,Payr.days
ABRUD,E,Date of the call
ABRUE,D,Abrüsten
ABRUE,E,Teardown
ABRUF,D,Lieferabruf
ABRUF,E,F. dlv. sched.
ABRUF_PART,D,Abrufprüfung
ABRUF_PART,E,Check partner
ABRVW,D,Verwendung
ABRVW,E,Usage
ABS01,D,Abschlag 1
ABS01,E,Devaluation 1
ABS02,D,Abschlag 2
ABS02,E,Devaluation 2
ABS03,D,Abschlag 3
ABS03,E,Devaluation 3
ABSBT,D,Abges.Betrag
ABSBT,E,Hedged Amount
ABSBU,E,Sending company code
ABSCH,D,Verrechn.Schema
ABSCH,E,Alloc.structure
ABSDT,D,Abgeschl. am
ABSDT,E,Closed on
ABSFZ,D,Abweichung absolut
ABSFZ,E,Absolute deviation
ABSFZ_DISP,D,Abweichung absolut
ABSFZ_DISP,E,Absolute deviation
ABSGR,D,Absagegrund
ABSGR,E,Reas. for Canc.
ABSKZ,D,Absage-Kz
ABSKZ,E,Rejection Ind.
ABSMG,D,Absatzmenge
ABSMG,E,Sales quantity
ABSMG_ME,D,Basis-ME
ABSMG_ME,E,Base unit
ABSND,D,Absenderbank
